timeStamps;magnitude;shape
('2017 1 9', '2017 1 15');-17.7189358201998;2015.703790883592
('2017 3 31', '2017 4 6');-32.89308917699546;3567.4124983986776
('2018 8 1', '2018 8 7');8.817415551788457;75.29558126217249
('2018 9 19', '2018 9 25');-4.277697281559516;107.6816687356972
('2018 11 27', '2018 12 2');75.69393847643772;2422.3169366114557
('2018 12 3', '2018 12 9');26.47176108136537;147.1458570279924
('2018 12 10', '2018 12 16');22.717349204004393;789.2442161281431
('2018 12 17', '2018 12 23');70.11045766829717;3346.850199976218
('2018 12 24', '2018 12 30');75.96556758778007;2534.551163064317
('2018 12 31', '2019 1 6');13.104055817798168;74.42140029443752
('2019 1 7', '2019 1 13');14.762132884040101;34.58801804553994
('2019 2 11', '2019 2 17');51.759028348203586;420.609964962069
('2019 3 1', '2019 3 7');-10.268849942973068;482.59039766438207
('2019 7 10', '2019 7 16');-7.115150643319363;82.1876322774977
('2019 7 17', '2019 7 23');-11.263319451062095;381.28929941335093
('2019 12 9', '2019 12 15');-13.280701121168399;982.965971125538
('2019 12 23', '2019 12 29');17.726250333621987;123.01131712889222
('2020 4 4', '2020 4 10');-3.745623982977843;78.93153823407027
('2020 5 8', '2020 5 14');-12.233683688245893;123.01417711478067
('2020 5 22', '2020 5 28');-22.458245750296;1887.4149786956577
('2020 6 5', '2020 6 11');-17.272153441074753;82.27040748850406
('2020 6 12', '2020 6 18');-15.604192201317094;403.45590872889693
('2020 7 2', '2020 7 8');-26.69541741235185;758.6558912149837
('2020 7 9', '2020 7 15');-15.46898506582042;111.47404312031473
('2020 7 16', '2020 7 22');-13.838967390244807;105.4194739237589
('2020 7 30', '2020 8 5');-18.690980239402855;1982.3687415862753
('2020 8 6', '2020 8 12');-12.423791123570151;358.0301961249377
('2020 9 3', '2020 9 9');-10.560395173963416;189.2001571293051
('2021 1 26', '2021 2 1');-6.534830716965095;244.40983421230126
('2021 6 11', '2021 6 17');-8.725206837893314;110.72586311877731
('2021 6 18', '2021 6 24');-12.888977451858556;353.0077697004011
('2021 7 1', '2021 7 7');-32.64154589538794;3577.076416712832
('2021 7 8', '2021 7 14');-16.71602363648845;579.0172595229648
('2021 8 12', '2021 8 18');-13.246616194973903;79.7849177471639
('2021 12 14', '2021 12 20');17.62625265827685;20.286831645257738
('2021 12 21', '2021 12 27');15.893731702481713;93.91645169626028
('2021 12 28', '2022 1 3');11.47414448055335;25.21662145997398
('2022 5 27', '2022 6 2');-13.18277320997289;163.63680917112526
('2022 6 10', '2022 6 16');-24.065134961750193;853.8708607679955
('2022 6 31', '2022 7 6');-33.95553984797622;3593.782063019252
